,child,condition,age,target_word,accuracy,response_type,is_near_distractor,is_random
1319,7,object,3.117808219,toothbrush,0,Random,0,1
1320,8,object,5.854794521,toothbrush,0,Random,0,1
1321,9,object,4.268493151,toothbrush,0,Random,0,1
1322,10,object,5.106849315,toothbrush,0,Random,0,1
1323,11,object,5.109589041,toothbrush,0,Random,0,1
1325,13,object,5.630136986,toothbrush,0,Near Distractor,1,0
1326,14,object,5.178082192,toothbrush,0,Near Distractor,1,0
1329,17,object,5.252054795,toothbrush,0,Random,0,1
1332,20,object,5.117808219,toothbrush,0,Near Distractor,1,0
1333,21,object,5.361643836,toothbrush,0,Near Distractor,1,0
1335,23,object,5.060273973,toothbrush,0,Random,0,1
1336,24,object,5.657534247,toothbrush,0,Near Distractor,1,0
1337,25,object,5.97260274,toothbrush,0,Random,0,1
1339,27,object,5.531506849,toothbrush,0,Random,0,1
1341,29,object,3.994520548,toothbrush,0,Random,0,1
1342,30,object,5.6,toothbrush,0,Random,0,1
1344,32,object,5.115068493,toothbrush,0,Random,0,1
1345,33,photo,4.682191781,toothbrush,0,Random,0,1
1347,35,photo,3.983561644,toothbrush,0,Random,0,1
1348,36,photo,4.775342466,toothbrush,0,Near Distractor,1,0
1349,37,photo,4.279452055,toothbrush,0,Random,0,1
1350,38,photo,4.208219178,toothbrush,0,Random,0,1
1351,39,photo,4.263013699,toothbrush,0,Random,0,1
1352,40,photo,4.78630137,toothbrush,0,Random,0,1
1353,41,photo,3.978082192,toothbrush,0,Random,0,1
1354,42,photo,4.391780822,toothbrush,0,Random,0,1
1355,43,photo,4.391780822,toothbrush,0,Near Distractor,1,0
1356,44,photo,4.835616438,toothbrush,0,Random,0,1
1357,45,photo,4.043835616,toothbrush,0,Random,0,1
1358,46,photo,4.797260274,toothbrush,0,Random,0,1
1360,48,photo,4.454794521,toothbrush,0,Random,0,1
1361,49,photo,4.610958904,toothbrush,0,Random,0,1
1362,50,photo,4.024657534,toothbrush,0,Random,0,1
1363,51,photo,4.994520548,toothbrush,0,Near Distractor,1,0
1364,52,photo,4.44109589,toothbrush,0,Random,0,1
1365,53,photo,4.290410959,toothbrush,0,Near Distractor,1,0
1366,54,photo,7.673972603,toothbrush,0,Random,0,1
1372,60,photo,6.430136986,toothbrush,0,Random,0,1
1374,62,photo,5.871232877,toothbrush,0,Random,0,1
1382,70,cartoon,7.164383562,toothbrush,0,Random,0,1
1383,71,cartoon,5.287671233,toothbrush,0,Random,0,1
1384,72,cartoon,7.301369863,toothbrush,0,Random,0,1
1385,73,cartoon,7.128767123,toothbrush,0,Random,0,1
1388,76,cartoon,6.873972603,toothbrush,0,Random,0,1
1391,79,cartoon,3.846575342,toothbrush,0,Random,0,1
1392,80,cartoon,4.057534247,toothbrush,0,Random,0,1
1395,83,cartoon,5.249315068,toothbrush,0,Near Distractor,1,0
1396,84,cartoon,3.01369863,toothbrush,0,Near Distractor,1,0
1398,86,cartoon,3.326027397,toothbrush,0,Random,0,1
1399,87,cartoon,3.265753425,toothbrush,0,Random,0,1
1401,89,cartoon,3.150684932,toothbrush,0,Random,0,1
1402,90,cartoon,3.063013699,toothbrush,0,Random,0,1
1404,92,cartoon,3.142465753,toothbrush,0,Random,0,1
